year,month,x_hk,container_hk,transit_pa_canal,transit_suez_canal,air_freight_mem,container_exports_la,container_total_la,x_servs_world
2014,1,,1943,1058,76663,800385129,313816.5,685549.85,
2014,2,,1485,959,69462,727113277,263249.25,559786.35,
2014,3,,1884,1071,76412,799822883,332388.25,675274.1,1229296.576
2014,4,,1926,977,77155,788027397,327992.75,706036.8,
2014,5,,1989,978,81980,787813110,321131.5,689141.65,
2014,6,,1972,888,77390,744353441,340346,736438.8,1297382.515
2014,7,,1934,950,82609,783006733,337214.75,717407,
2014,8,,1924,933,89145,783921063,354699.25,757702.45,
2014,9,,1794,1012,83754,755390428,350911.5,775132.7,1363055.031
2014,10,,1826,1063,85842,837932617,334124.25,715682.9,
2014,11,,1777,1016,80962,767742073,320109,663345.6,
2014,12,,1772,1069,81374,800631560,314168.5,658567.45,1305555.879
2015,1,,1821,1041,82537,801726690,261483.5,529427.2,
2015,2,,1444,978,73020,742601432,242707.25,502663.3,
2015,3,,1656,1083,82528,784094800,352654.25,791863.6,1163976.176
2015,4,,1739,1049,81586,800014200,323379.5,662973.25,
2015,5,,1808,1045,85842,784559461,335105.75,694791.05,
2015,6,,1765,990,82843,764394096,344022,721802.6,1267052.698
2015,7,,1841,1026,85514,802865037,337126,699127.95,
2015,8,,1706,1042,89053,773161988,369349,786667.8,
2015,9,,1634,981,86620,798683573,346343.5,730306.9,1276133.116
2015,10,,1482,1047,85073,842835961,332173.25,704588.9,
2015,11,,1600,1026,80291,760852913,341254.15,709968.7,
2015,12,,1577,1029,83746,802292580,295229.75,626276.65,1255428.01
2016,1,,1673,1052,80613,781588845,329182.75,704398.45,
2016,2,,1140,977,77716,742301912,330352.75,713721,
2016,3,,1511,1037,80496,861746023,316013.5,612863.2,1169456.16
2016,4,,1581,949,75887,817424600,301973.5,656177.05,
2016,5,,1631,926,82060,766137096,358700.25,770409.3,
2016,6,,1659,843,80030,806464628,310829.75,676006.9,1252424.157
2016,7,,1628,946,84740,763486025,308438.2,687891.8,
2016,8,,1792,908,87844,790075291,375742.5,798932.75,
2016,9,,1712,945,81732,791908818,347729.15,747707.4,1303649.593
2016,10,,1687,973,81960,785311527,386377.65,814574.5,
2016,11,,1814,969,77836,779598211,429252.85,877564.2,
2016,12,,1983,1043,83271,823865275,391655.6,796536.25,1305680.091
2017,1,,1661,1111,78673,758941117,398242.25,826639.55,
2017,2,,1487,983,75303,730561950,316799.4,625381.15,
2017,3,,1730,1071,84679,864469596,402886.75,788523.7,1227464.658
2017,4,,1799,1016,86170,775483250,333238.4,714755.05,
2017,5,,1824,990,88265,776313403,371714.75,796216.7,
2017,6,,1750,889,84634,807353714,348248.75,731032.35,1343680.803
2017,7,,1782,1017,87969,741951893,369126.05,796804,
2017,8,,1718,974,91549,827262050,404818.25,847857.05,
2017,9,,1806,964,87926,787070546,365418.25,763784.5,1421206.635
2017,10,,1676,1055,93158,824173591,350803.5,748762.2,
2017,11,,1757,994,90990,819374526,448437.5,924225.75,
2017,12,,1780,1047,92260,828401231,381909.9,779210.95,1436937.905
2018,1,,1846,1050,87760,784276788,376599.75,808728.5,
2018,2,,1414,941,83486,753172224,332376.5,725059.45,
2018,3,,1628,1088,88938,877319654,304023.65,577865.9,1409712.996
2018,4,,1601,1014,92474,774741598,333009.65,705535.95,
2018,5,,1696,1069,99171,843682812,351431.75,768804.35,
2018,6,,1683,955,97157,828991712,329776,723141.15,1455009.482
2018,7,,1666,998,99739,779102686,378886.25,833567.85,
2018,8,,1616,1005,101241,862759944,385962,826638.4,
2018,9,,1487,992,93952,822558814,369953.75,801264.15,1493255.713
2018,10,,1646,1046,103009,875090466,448165.9,952553.75,
2018,11,,1639,977,96068,832802027,392364.75,832330.9,
2018,12,,1674,1014,96634,796523111,420904.9,903258.15,1487091.809
2019,1,,1695,1072,96250,841248868,406719,852449.5,
2019,2,,1162,962,88549,748734044,340756,705306.55,
2019,3,,1567,1067,97796,849439049,339923.25,650977.15,1409716.809
2019,4,,1574,1006,98341,789832572,358122.45,736465.95,
2019,5,,1572,1032,104914,836120121,388348.75,828662.15,
2019,6,,1527,975,98233,766520436,358953.25,764777.25,1479729.772
2019,7,,1549,1001,103574,765035601,424549.25,912154.15,
2019,8,,1584,1113,106000,802393709,411995,861080.8,
2019,9,,1484,1025,98974,727853980,365222,779902.75,1534123.025
2019,10,,1553,1137,108919,831758191,367763,770188.5,
2019,11,,1511,1136,101668,782372297,348480.25,728917.9,
2019,12,,1524,1143,103867,770542266,362955.5,746749.75,1531372.407
2020,1,,1425,1134,105737,752019735,380382.25,806143.75,
2020,2,,1192,1021,99902,730438819,265302.25,544037.3,
2020,3,,1551,,,790381118,217961,449568.3,
